"date","year","month","co2_ppm","decade"
2017-03-01,2017,3,407.53,"2010's"
2017-04-01,2017,4,409.22,"2010's"
2017-05-01,2017,5,409.89,"2010's"
2017-06-01,2017,6,409.08,"2010's"
2017-07-01,2017,7,407.33,"2010's"
2017-08-01,2017,8,405.32,"2010's"
2017-09-01,2017,9,403.57,"2010's"
2017-10-01,2017,10,403.82,"2010's"
2017-11-01,2017,11,405.31,"2010's"
2017-12-01,2017,12,407,"2010's"
2018-01-01,2018,1,408.15,"2010's"
2018-02-01,2018,2,408.52,"2010's"
2018-03-01,2018,3,409.59,"2010's"
2018-04-01,2018,4,410.45,"2010's"
2018-05-01,2018,5,411.44,"2010's"
2018-06-01,2018,6,410.99,"2010's"
2018-07-01,2018,7,408.9,"2010's"
2018-08-01,2018,8,407.16,"2010's"
2018-09-01,2018,9,405.71,"2010's"
2018-10-01,2018,10,406.19,"2010's"
2018-11-01,2018,11,408.21,"2010's"
2018-12-01,2018,12,409.27,"2010's"
2019-01-01,2019,1,411.03,"2010's"
2019-02-01,2019,2,411.96,"2010's"
2019-03-01,2019,3,412.18,"2010's"
2019-04-01,2019,4,413.54,"2010's"
2019-05-01,2019,5,414.86,"2010's"
2019-06-01,2019,6,414.16,"2010's"
2019-07-01,2019,7,411.97,"2010's"
2019-08-01,2019,8,410.18,"2010's"
2019-09-01,2019,9,408.76,"2010's"
2019-10-01,2019,10,408.75,"2010's"
2019-11-01,2019,11,410.48,"2010's"
2019-12-01,2019,12,411.98,"2010's"
2020-01-01,2020,1,413.61,"2020's"
2020-02-01,2020,2,414.34,"2020's"
2020-03-01,2020,3,414.74,"2020's"
2020-04-01,2020,4,416.45,"2020's"
2020-05-01,2020,5,417.31,"2020's"
2020-06-01,2020,6,416.6,"2020's"
2020-07-01,2020,7,414.62,"2020's"
2020-08-01,2020,8,412.78,"2020's"
2020-09-01,2020,9,411.52,"2020's"
2020-10-01,2020,10,411.51,"2020's"
2020-11-01,2020,11,413.12,"2020's"
2020-12-01,2020,12,414.26,"2020's"
2021-01-01,2021,1,415.52,"2020's"
2021-02-01,2021,2,416.75,"2020's"
2021-03-01,2021,3,417.64,"2020's"
2021-04-01,2021,4,419.05,"2020's"
2021-05-01,2021,5,419.13,"2020's"
2021-06-01,2021,6,418.94,"2020's"
2021-07-01,2021,7,416.96,"2020's"
2021-08-01,2021,8,414.47,"2020's"
2021-09-01,2021,9,413.3,"2020's"
2021-10-01,2021,10,413.93,"2020's"
2021-11-01,2021,11,415.01,"2020's"
2021-12-01,2021,12,416.71,"2020's"
2022-01-01,2022,1,418.19,"2020's"
